"dates","DOY","TIME","PT0cm","PT2.5cm","PT5cm","PT10cm","PT15cm","PT20cm","PT30cm","PT50cm","PT100cm","PT200cm"
2020-07-01,183,0,-23074.6217718998,-784443.507120867,-138042.551722958,-12734.1259133169,-1772.45007911597,-397.939914529501,-389.46354072084,-436.447865345685,-328.904765244604,-2.49390455383571
2020-07-01 01:00:00,183,60,-18127.2924943343,-784777.978491204,-139608.842968487,-12632.8919434938,-1653.54466968184,-409.614837881715,-391.593177700605,-437.559233177375,-328.930129574745,-2.49390455383571
2020-07-01 02:00:00,183,120,-14532.0422177584,-785064.073096546,-141134.218865161,-12527.0441964395,-1545.19656603996,-420.809504610453,-393.757477673062,-438.691991254222,-328.955713892246,-2.49390455383571
2020-07-01 03:00:00,183,180,-12471.5359852314,-785297.391034469,-142616.20854038,-12416.6457327639,-1447.40641180827,-431.479976837641,-395.94235802638,-439.835891432211,-328.981519144806,-2.49390455383571
2020-07-01 04:00:00,183,240,-12325.0406666918,-785469.952360025,-144052.377878639,-12301.6273255065,-1359.81659757672,-441.569929663094,-398.129167300717,-440.977656522631,-329.007544079105,-2.49390455383571
2020-07-01 05:00:00,183,300,-12507.1046916197,-785561.03891673,-145452.845403902,-12181.708465785,-1281.88875813218,-451.042664882188,-400.304203852281,-442.107736564675,-329.033785428405,-2.49390455383571
2020-07-01 06:00:00,183,360,-12149.0005057887,-785579.849697687,-146784.32863979,-12056.8589439448,-1212.75585373236,-459.83551191761,-402.444731456315,-443.210364729435,-329.060237661108,-2.49390455383571
2020-07-01 07:00:00,183,420,-9304.4367009012,-785512.834474366,-148049.146918883,-11926.5275382486,-1151.7523515802,-467.96342254704,-404.549715836099,-444.285262389077,-329.086894058035,-2.49390455383571
2020-07-01 08:00:00,183,480,-7043.76641386268,-785356.076445802,-149245.293170874,-11790.2929698034,-1098.12698535397,-475.446399733,-406.618360221034,-445.332341428276,-329.11374799713,-2.49390455383571
2020-07-01 09:00:00,183,540,-5839.20550651007,-785109.157148266,-150373.369227811,-11647.8594395003,-1051.12413045433,-482.315087721198,-408.651929928936,-446.352972377377,-329.14079310632,-2.49390455383571
2020-07-01 10:00:00,183,600,-4988.24861814793,-784771.034909757,-151436.357980052,-11499.057857044,-1010.02777224904,-488.611286351877,-410.654134259686,-447.350227417178,-329.168023534062,-2.49390455383571
2020-07-01 11:00:00,183,660,-4536.68118364208,-784340.205758716,-152437.18601417,-11343.7540459621,-974.073351019133,-494.358643140844,-412.622959985005,-448.323158119883,-329.195433685031,-2.49390455383571
2020-07-01 12:00:00,183,720,-4157.344909324,-783814.329983165,-153379.891502541,-11181.8752605353,-942.705175629018,-499.619329805128,-414.567060170725,-449.278249681308,-329.223018602423,-2.49390455383571
2020-07-01 13:00:00,183,780,-3859.37846799937,-783190.582081678,-154266.770121693,-11013.3261457017,-915.351911669502,-504.439436980141,-416.490531852018,-450.218758742722,-329.250774225871,-2.49390455383571
2020-07-01 14:00:00,183,840,-6.97448122582367,-39.1869016697188,-154947.636652761,-10836.4168168492,-884.541093396868,-507.06597141557,-417.891052561268,-450.796686740953,-329.278680698661,-2.49390455383571
2020-07-01 15:00:00,183,900,-28.1752635230653,-49.3022475464127,-130952.939998791,-10649.5829022913,-847.057497022705,-506.417575538345,-418.430244449787,-450.779848676007,-329.306624081146,-2.49390455383571
2020-07-01 16:00:00,183,960,-47.4455929479234,-68.1193855409213,-62137.7253311279,-10453.1888016127,-809.433738438056,-504.076548423225,-418.524714725736,-450.458868363385,-329.334538151959,-2.49390455383571
2020-07-01 17:00:00,183,1020,-62.2311588823738,-83.0680638214081,-30160.3442326205,-10247.5509540077,-777.439142606179,-501.700790032819,-418.62738415333,-450.147963841949,-329.362403250047,-2.49390455383571
2020-07-01 18:00:00,183,1080,-75.5436009870993,-99.3542471573504,-17384.9717312851,-10031.9654197228,-750.761303190887,-499.487692179381,-418.790433453759,-449.883238878446,-329.390225045594,-2.49390455383571
2020-07-01 19:00:00,183,1140,-89.0164711184879,-116.807065705003,-11337.250768393,-9805.80814352586,-728.852160870574,-497.552644548836,-419.044333236138,-449.685680937561,-329.418013410379,-2.49390455383571
2020-07-01 20:00:00,183,1200,-102.361938714272,-135.354807309886,-8004.7570158547,-9568.33640307203,-711.157212664636,-495.982574833005,-419.412452171902,-449.571295799573,-329.445781343333,-2.49390455383571
2020-07-01 21:00:00,183,1260,-116.225828892718,-155.036198478794,-5942.24206486565,-9318.67399837218,-697.252939666852,-494.874991398286,-419.922065912271,-449.55871110435,-329.473544852949,-2.49390455383571
2020-07-01 22:00:00,183,1320,-129.668374437981,-175.911484572923,-4547.9228775201,-9055.76392473551,-686.710193608907,-494.303519412469,-420.594484427972,-449.662348234271,-329.501322756313,-2.49390455383571
