"dates","DOY","TIME","PT0cm","PT2.5cm","PT5cm","PT10cm","PT15cm","PT20cm","PT30cm","PT50cm","PT100cm","PT200cm"
2018-07-01,182,0,-89313.6727239183,-757843.254361901,-124736.361592593,-9245.96663674038,-1186.51056916132,-297.528327712961,-397.760273728636,-423.831933314235,-289.185696078628,-2.44720205257275
2018-07-01 01:00:00,182,60,-55661.184471691,-758404.144867021,-126808.540971674,-9141.80220613319,-1129.53809770003,-309.762804597266,-399.313104836313,-424.73019994173,-289.196238043323,-2.44720205257275
2018-07-01 02:00:00,182,120,-52136.2589268793,-758810.585950441,-128823.004482767,-9032.21620028249,-1079.0637429804,-321.516105254227,-400.888831161334,-425.639284100514,-289.207234225718,-2.44720205257275
2018-07-01 03:00:00,182,180,-52698.3293184188,-759022.954970363,-130779.580027261,-8917.41790153551,-1034.19490989297,-332.729796386276,-402.462659277844,-426.54133059544,-289.218679671617,-2.44720205257275
2018-07-01 04:00:00,182,240,-55361.532154158,-759007.719104915,-132666.262120814,-8797.38154574085,-994.386771788989,-343.404125249746,-404.032513891398,-427.434557627776,-289.230567223812,-2.44720205257275
2018-07-01 05:00:00,182,300,-55847.6007078201,-758736.785792326,-134474.868482441,-8671.80566362116,-958.607200061027,-353.446133005564,-405.559699910256,-428.292082545611,-289.242885955907,-2.44720205257275
2018-07-01 06:00:00,182,360,-55631.7962456146,-758186.037160785,-136194.069484885,-8540.3983232711,-926.287165745767,-362.833606220571,-407.032108156122,-429.105692110812,-289.255621012262,-2.44720205257275
2018-07-01 07:00:00,182,420,-48142.5680587631,-757340.38516216,-137809.217478436,-8402.70877185372,-896.75060945646,-371.514682461667,-408.426037534206,-429.859344124722,-289.268754747407,-2.44720205257275
2018-07-01 08:00:00,182,480,-44982.4966624151,-756202.113185892,-139304.063576332,-8258.30675433485,-870.151071483965,-379.600421128896,-409.775257948966,-430.576701383371,-289.282271280214,-2.44720205257275
2018-07-01 09:00:00,182,540,-42811.1941695783,-754769.582198479,-140687.699919088,-8106.88588082107,-846.566906695777,-387.203864032482,-411.112285029234,-431.280455691198,-289.296160694817,-2.44720205257275
2018-07-01 10:00:00,182,600,-40820.614603736,-753034.766995142,-141971.15127961,-7948.31769350965,-825.765753621344,-394.381323590651,-412.448771213472,-431.978881929757,-289.310416849812,-2.44720205257275
2018-07-01 11:00:00,182,660,-40416.3688323018,-750990.040690216,-143161.268847763,-7782.48846900581,-807.50437618076,-401.184822609482,-413.794455304184,-432.678928646527,-289.325035527211,-2.44720205257275
2018-07-01 12:00:00,182,720,-39274.0657335408,-748625.695859313,-144264.807642992,-7609.24591427113,-791.556370860801,-407.666543182976,-415.158942748703,-433.387439485468,-289.340014223734,-2.44720205257275
2018-07-01 13:00:00,182,780,-38355.9048480848,-745936.49694239,-145284.990225969,-7428.50913327977,-778.116294398019,-413.976236167232,-416.584258883544,-434.133393745911,-289.355354980529,-2.44720205257275
2018-07-01 14:00:00,182,840,-6.67414723347947,-41.7794583536981,-146016.331618444,-7237.80577794774,-760.820384064475,-418.696340228712,-417.599804610383,-434.595662853203,-289.371041150376,-2.44720205257275
2018-07-01 15:00:00,182,900,-5.53514404248177,-10.3753659327681,-13812.5375114934,-7033.21909010923,-733.449021755885,-420.072104824026,-417.614943864339,-434.372854224757,-289.386921730188,-2.44720205257275
