species,age,area,measure,val,pven,nichemapr
archeri,adult,dorsal,depth,0.017402833333333333,0.276138522,ZFURD
archeri,adult,dorsal,lenght,0.027277000000000003,0.276138522,LHAIRD
archeri,adult,ventral,depth,0.004124166666666667,0.276138522,ZFURV
archeri,adult,ventral,lenght,0.012433,0.276138522,LHAIRV
archeri,juevenile,dorsal,depth,0.013410666666666666,0.312358533,ZFURD
archeri,juevenile,dorsal,lenght,0.02582,0.312358533,LHAIRD
archeri,juevenile,ventral,depth,0.003031666666666667,0.312358533,ZFURV
archeri,juevenile,ventral,lenght,0.014118,0.312358533,LHAIRV
cinereus,adult,dorsal,depth,0.010885833333333332,0.2855258605,ZFURD
cinereus,adult,dorsal,lenght,0.0239675,0.2855258605,LHAIRD
cinereus,adult,ventral,depth,0.0023258333333333334,0.2855258605,ZFURV
cinereus,adult,ventral,lenght,0.012035,0.2855258605,LHAIRV
herbertensis,adult,dorsal,depth,0.012790410714285712,0.312073815,ZFURD
herbertensis,adult,dorsal,lenght,0.02368025,0.312073815,LHAIRD
herbertensis,adult,ventral,depth,0.0024,0.312073815,ZFURV
herbertensis,adult,ventral,lenght,0.012013,0.312073815,LHAIRV
herbertensis,juevenile,dorsal,depth,0.011231499999999998,0.294425087,ZFURD
herbertensis,juevenile,dorsal,lenght,0.01767,0.294425087,LHAIRD
herbertensis,juevenile,ventral,depth,0.0029233333333333333,0.294425087,ZFURV
herbertensis,juevenile,ventral,lenght,0.011247,0.294425087,LHAIRV
lemuroides,adult,dorsal,depth,0.016754175,0.3328633755,ZFURD
lemuroides,adult,dorsal,lenght,0.02792025,0.3328633755,LHAIRD
lemuroides,adult,ventral,depth,0.004909166666666666,0.3328633755,ZFURV
lemuroides,adult,ventral,lenght,0.014939500000000001,0.3328633755,LHAIRV
lemuroides,baby,dorsal,depth,0.0018118333333333335,0.352773826,ZFURD
lemuroides,baby,dorsal,lenght,0.010618,0.352773826,LHAIRD
lemuroides,baby,ventral,depth,0.0013083333333333334,0.352773826,ZFURV
lemuroides,baby,ventral,lenght,0.008699,0.352773826,LHAIRV
