species,lat_cat,elev_cat,year,area,age,val,pven,measure,nichemapr
archeri,-19,1000,1966,dorsal,adult,0.016817166666666668,0.274702172,depth,ZFURD
archeri,-18,800,1976,dorsal,adult,0.014561583333333333,0.254357161,depth,ZFURD
archeri,-18,800,1979,dorsal,adult,0.02080002777777778,NA,depth,ZFURD
archeri,-17.5,600,2007,dorsal,juevenile,0.014699333333333333,0.251497006,depth,ZFURD
archeri,-17.5,800,1968,dorsal,adult,0.0156435,0.277574872,depth,ZFURD
archeri,-17.5,800,1972,dorsal,juevenile,0.012544333333333334,0.312358533,depth,ZFURD
archeri,-17.5,800,2016,dorsal,juevenile,0.012587666666666667,0.326530612,depth,ZFURD
archeri,-17.5,900,1988,dorsal,adult,0.015010444444444444,0.320035461,depth,ZFURD
archeri,-17.5,1000,1982,dorsal,adult,0.014863833333333333,0.289026275,depth,ZFURD
archeri,-17.5,1000,2003,dorsal,adult,0.015176833333333334,0.237954769,depth,ZFURD
archeri,-17.5,1100,1996,dorsal,adult,0.015672916666666665,0.271362866,depth,ZFURD
archeri,-17,500,1956,dorsal,adult,0.01470238888888889,0.310765816,depth,ZFURD
archeri,-17,700,1990,dorsal,adult,0.0147145,0.285675232,depth,ZFURD
archeri,-17,800,2008,dorsal,adult,0.012327848543735677,0.257277957,depth,ZFURD
archeri,-17,1200,1956,dorsal,adult,0.015138402777777778,0.304332497,depth,ZFURD
archeri,-16.5,100,1959,dorsal,adult,0.015209916666666667,0.266272189,depth,ZFURD
cinereus,-16.5,900,1982,dorsal,adult,0.010646166666666667,0.277862595,depth,ZFURD
cinereus,-16.5,1000,1982,dorsal,adult,0.010390583333333332,0.293189126,depth,ZFURD
cinereus,-16.5,1200,1937,dorsal,adult,0.011775250000000001,0.296846463,depth,ZFURD
cinereus,-16.5,1200,1938,dorsal,adult,0.0117485,0.275718016,depth,ZFURD
herbertensis,-18.5,700,1988,dorsal,adult,0.015180416666666667,0.348379245,depth,ZFURD
herbertensis,-18.5,800,1988,dorsal,adult,0.010666499999999999,0.334212773,depth,ZFURD
herbertensis,-18,700,1913,dorsal,adult,0.012029535714285715,0.349565217,depth,ZFURD
herbertensis,-18,800,1976,dorsal,adult,0.010467416666666667,0.294911205,depth,ZFURD
herbertensis,-17.5,900,1988,dorsal,adult,0.011281958333333333,0.32096591500000005,depth,ZFURD
herbertensis,-17.5,1000,1950,dorsal,adult,0.011631,0.279666343,depth,ZFURD
herbertensis,-17.5,1000,1950,dorsal,juevenile,0.011631,0.294425087,depth,ZFURD
herbertensis,-17.5,1100,1956,dorsal,adult,0.015112750000000001,0.317551457,depth,ZFURD
herbertensis,-17.5,1100,1996,dorsal,adult,0.01927525,NA,depth,ZFURD
herbertensis,-17,500,1922,dorsal,adult,0.010945916666666666,0.308809293,depth,ZFURD
herbertensis,-17,500,1937,dorsal,adult,0.011199833333333332,0.256797583,depth,ZFURD
herbertensis,-17,500,1951,dorsal,adult,0.012734875,0.289916742,depth,ZFURD
herbertensis,-17,500,1956,dorsal,adult,0.014693999999999999,0.312073815,depth,ZFURD
herbertensis,-17,1200,1956,dorsal,adult,0.0110175,0.325335689,depth,ZFURD
herbertensis,NA,NA,1964,dorsal,adult,0.01757158333333333,0.269755633,depth,ZFURD
lemuroides,-17.5,700,1912,dorsal,adult,0.016098125,0.3123149,depth,ZFURD
lemuroides,-17.5,900,1988,dorsal,adult,0.0159443,0.341871307,depth,ZFURD
lemuroides,-17.5,1000,2008,dorsal,adult,0.016051805555555555,0.336943442,depth,ZFURD
lemuroides,-17.5,1100,1956,dorsal,adult,0.0096585,0.32878330899999997,depth,ZFURD
lemuroides,-17.5,1100,1956,dorsal,baby,0.0096585,0.352773826,depth,ZFURD
lemuroides,-17,500,1922,dorsal,adult,0.015537916666666665,0.337522225,depth,ZFURD
lemuroides,-17,500,1956,dorsal,adult,0.017277,0.328206665,depth,ZFURD
lemuroides,-17,800,1956,dorsal,adult,0.014190916666666668,0.316733661,depth,ZFURD
lemuroides,-17,1200,1938,dorsal,adult,0.015920083333333335,0.358888186,depth,ZFURD
lemuroides,-17,1200,1956,dorsal,adult,0.016895833333333332,0.359710874,depth,ZFURD
lemuroides,-16.5,1200,1979,dorsal,adult,0.015114416666666667,0.299516908,depth,ZFURD
archeri,-19,1000,1966,ventral,adult,0.016817166666666668,0.274702172,depth,ZFURV
archeri,-18,800,1976,ventral,adult,0.014561583333333333,0.254357161,depth,ZFURV
archeri,-17.5,600,2007,ventral,juevenile,0.014699333333333333,0.251497006,depth,ZFURV
archeri,-17.5,800,1968,ventral,adult,0.0156435,0.277574872,depth,ZFURV
archeri,-17.5,800,1972,ventral,juevenile,0.012544333333333334,0.312358533,depth,ZFURV
archeri,-17.5,800,2016,ventral,juevenile,0.012587666666666667,0.326530612,depth,ZFURV
archeri,-17.5,900,1988,ventral,adult,0.015010444444444444,0.320035461,depth,ZFURV
archeri,-17.5,1000,1982,ventral,adult,0.014863833333333333,0.289026275,depth,ZFURV
archeri,-17.5,1000,2003,ventral,adult,0.015176833333333334,0.237954769,depth,ZFURV
archeri,-17.5,1100,1996,ventral,adult,0.015672916666666665,0.271362866,depth,ZFURV
archeri,-17,500,1956,ventral,adult,0.01470238888888889,0.310765816,depth,ZFURV
archeri,-17,700,1990,ventral,adult,0.0147145,0.285675232,depth,ZFURV
archeri,-17,800,2008,ventral,adult,0.012327848543735677,0.257277957,depth,ZFURV
archeri,-17,1200,1956,ventral,adult,0.015138402777777778,0.304332497,depth,ZFURV
archeri,-16.5,100,1959,ventral,adult,0.015209916666666667,0.266272189,depth,ZFURV
cinereus,-16.5,900,1982,ventral,adult,0.010646166666666667,0.277862595,depth,ZFURV
cinereus,-16.5,1000,1982,ventral,adult,0.010390583333333332,0.293189126,depth,ZFURV
cinereus,-16.5,1200,1937,ventral,adult,0.011775250000000001,0.296846463,depth,ZFURV
cinereus,-16.5,1200,1938,ventral,adult,0.0117485,0.275718016,depth,ZFURV
herbertensis,-18.5,700,1988,ventral,adult,0.015180416666666667,0.348379245,depth,ZFURV
herbertensis,-18.5,800,1988,ventral,adult,0.010666499999999999,0.334212773,depth,ZFURV
herbertensis,-18,700,1913,ventral,adult,0.012029535714285715,0.349565217,depth,ZFURV
herbertensis,-18,800,1976,ventral,adult,0.010467416666666667,0.294911205,depth,ZFURV
herbertensis,-17.5,900,1988,ventral,adult,0.011281958333333333,0.32096591500000005,depth,ZFURV
herbertensis,-17.5,1000,1950,ventral,adult,0.011631,0.279666343,depth,ZFURV
herbertensis,-17.5,1000,1950,ventral,juevenile,0.011631,0.294425087,depth,ZFURV
herbertensis,-17.5,1100,1956,ventral,adult,0.015112750000000001,0.317551457,depth,ZFURV
herbertensis,-17,500,1922,ventral,adult,0.010945916666666666,0.308809293,depth,ZFURV
herbertensis,-17,500,1937,ventral,adult,0.011199833333333332,0.256797583,depth,ZFURV
herbertensis,-17,500,1951,ventral,adult,0.012734875,0.289916742,depth,ZFURV
herbertensis,-17,500,1956,ventral,adult,0.014693999999999999,0.312073815,depth,ZFURV
