id,genus,species,location,South,East,lat,long,elevation,sex,date,collection_ID,collector,metric,area,type,rep,value_mm,dorsal_surface_mm2,ventral_surfave_mm2,ratiodorsal_ventral,pven,body_lenght_mm,tail_lenght_mm,notes,age
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,dorsal,fur,1,14.74,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,dorsal,fur,2,17.94,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,dorsal,fur,3,17.74,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,dorsal,fur,4,12.69,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,dorsal,fur,5,16.39,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,dorsal,fur,6,17.04,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,side,fur,1,13.57,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,side,fur,2,13.97,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,side,fur,3,12.69,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,side,fur,4,13.88,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,side,fur,5,13.36,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,side,fur,6,9.81,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,ventral,fur,1,3.54,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,ventral,fur,2,2.77,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,ventral,fur,3,3.37,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,ventral,fur,4,3,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,ventral,fur,5,2.4,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,ventral,fur,6,2.3,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,head,fur,1,11.75,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,head,fur,2,8.66,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,head,fur,3,11.64,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,head,fur,4,5.97,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,head,fur,5,10.06,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,head,fur,6,7.55,63400,31700,2,0.333333333,317,350,,adult
1,Pseudocheirus,peregrinus,"Mount Spec, NEQ",18.57,146.11,-18.95,146.18,930,Female,8/9/1958,J10116,S. Breeden,depth,tail_basal_dorsal,fur,1,4.83,63400,31700,2,0.333333333,317,350,,adult
