fur_id,sample_id,side,hair_id,hair_type,length_mm,length_m
1,grpt1d,dorsal,1,fur,21.643,0.021643
1,grpt1d,dorsal,2,fur,20.556,0.020556
1,grpt1d,dorsal,3,fur,21.636,0.021636
1,grpt1d,dorsal,4,fur,21.204,0.021204
1,grpt1d,dorsal,5,fur,21.806,0.021806
1,grpt1d,dorsal,6,fur,22.483,0.022483
1,grpt1d,dorsal,7,fur,24.458,0.024458
1,grpt1d,dorsal,8,fur,22.876,0.022876
1,grpt1d,dorsal,9,fur,21.328,0.021328
1,grpt1d,dorsal,10,fur,20.075,0.020075
5,grtp5d,dorsal,1,fur,19.481,0.019481
5,grtp5d,dorsal,2,fur,19.101,0.019101
5,grtp5d,dorsal,3,fur,15.636,0.015636
5,grtp5d,dorsal,4,fur,18.056,0.018056
5,grtp5d,dorsal,5,fur,14.892,0.014892
5,grtp5d,dorsal,6,fur,12.025,0.012025
5,grtp5d,dorsal,7,fur,14.116,0.014116
5,grtp5d,dorsal,8,fur,17.852,0.017852
5,grtp5d,dorsal,9,fur,17.599,0.017599
5,grtp5d,dorsal,10,fur,19.543,0.019543
5,grtp5d,dorsal,21,fur,10.975,0.010975
5,grtp5d,dorsal,22,fur,20.222,0.020222
2,grtp2v,dorsal,1,fur,17.366,0.017366
2,grtp2v,dorsal,3,fur,23.229,0.023229
2,grtp2v,dorsal,4,fur,24.73,0.02473
2,grtp2d,dorsal,1,fur,23.158,0.023158
2,grtp2d,dorsal,2,fur,18.802,0.018802
2,grtp2d,dorsal,3,fur,22.235,0.022235
2,grtp2d,dorsal,4,fur,21.984,0.021984
2,grtp2d,dorsal,5,fur,21.613,0.021613
2,grtp2d,dorsal,6,fur,24.59,0.02459
2,grtp2d,dorsal,7,fur,17.452,0.017452
2,grtp2d,dorsal,8,fur,17.292,0.017292
2,grtp2d,dorsal,9,fur,16.812,0.016812
2,grtp2d,dorsal,10,fur,20.058,0.020058
2,grtp2d,dorsal,21,fur,21.978,0.021978
3,grtp3d,dorsal,1,fur,25.35,0.02535
3,grtp3d,dorsal,2,fur,26.498,0.026498
3,grtp3d,dorsal,3,fur,21.023,0.021023
3,grtp3d,dorsal,4,fur,25.146,0.025146
3,grtp3d,dorsal,5,fur,17.248,0.017248
3,grtp3d,dorsal,6,fur,19.964,0.019964
3,grtp3d,dorsal,7,fur,23.083,0.023083
3,grtp3d,dorsal,8,fur,23.771,0.023771
3,grtp3d,dorsal,9,fur,22.626,0.022626
3,grtp3d,dorsal,10,fur,22.184,0.022184
3,grtp3d,dorsal,11,fur,22.327,0.022327
4,grtp4d,dorsal,1,fur,19.614,0.019614
4,grtp4d,dorsal,2,fur,27.511,0.027511
4,grtp4d,dorsal,3,fur,19.592,0.019592
4,grtp4d,dorsal,4,fur,21.132,0.021132
4,grtp4d,dorsal,5,fur,26.136,0.026136
4,grtp4d,dorsal,6,fur,23.645,0.023645
