Possum,Temperature,Vo2,VCO2,EWL,Chamber temp,Possum temp,Measure start,Measure end,Body weight,Vo2 (ml/g/min),Co2 (ml/g/min),Ewl (ml/g/min)
1,12,7.17123,4.82162,8.47609,12.40868,37.2969,1462.607535,1462.621424,795,0.009020415,0.006064931,0.010661748
1,18,7.75657,5.19667,1.65968,18.5170941,37.010005,1462.628715,1462.642604,795,0.009756692,0.006536692,0.002087648
1,24,6.3159429,4.6251369,6.2337401,24.1650576,36.648301,1462.674155,1462.685961,795,0.007944582,0.005817782,0.007841183
1,30,6.45135,4.52499,5.06069,30.1426909,36.998088,1462.722454,1462.736354,795,0.008114906,0.005691811,0.006365648
1,35,8.52714,5.82559,7.9049,35.283194,38.304767,1462.771412,1462.785301,795,0.010725962,0.007327786,0.00994327
7,12,7.38538,5.47689,9.20075,11.90863,37.6293,1462.43441,1462.448299,920,0.008027587,0.005953141,0.010000815
7,18,7.09172,5.41483,1.76551,18.1429247,37.805496,1462.47375,1462.487639,920,0.007708391,0.005885685,0.001919033
7,24,5.89951,4.51174,7.38358,24.2043039,37.248598,1462.54522,1462.559109,920,0.006412511,0.004904065,0.00802563
7,30,5.63071,4.82662,7.86626,30.3605593,37.444128,1462.621053,1462.634942,920,0.006120337,0.005246326,0.008550283
7,35,6.17105,4.97952,8.91129,35.11715,38.163032,1462.679769,1462.693657,920,0.006707663,0.005412522,0.009686185
8,12,13.85131,11.11411,7.60731,12.27775,38.4029,1462.460069,1462.473958,940,0.014735436,0.011823521,0.008092883
8,18,8.76307,7.73685,14.99826,18.6222502,38.211139,1462.551725,1462.565613,940,0.009322415,0.008230691,0.015955596
8,24,7.51131,6.21958,12.13953,24.333627,38.458476,1462.631933,1462.645822,940,0.007990755,0.006616574,0.012914394
8,30,5.53133,4.69246,11.82783,31.1148598,38.175415,1462.716921,1462.73081,940,0.005884394,0.004991979,0.012582798
8,35,7.7403,6.38705,16.65157,34.883831,39.357312,1462.791331,1462.80522,940,0.008234362,0.006794734,0.017714436
9,12,7.36584,7.14972,7.27072,12.1738255,37.858312,1462.384294,1462.397951,875,0.008418103,0.008171109,0.008309394
9,18,6.67994,6.19217,1.71339,18.6413554,37.650415,1462.450532,1462.464421,875,0.007634217,0.007076766,0.00195816
9,24,3.87823,5.60484,8.47002,24.2199453,37.222884,1462.561169,1462.575058,875,0.004432263,0.006405531,0.009680023
9,30,6.40596,5.54787,10.05433,30.4972407,37.753576,1462.569676,1462.583565,875,0.007321097,0.006340423,0.011490663
9,35,5.22013,5.9378,11.80714,35.184222,38.556942,1462.639063,1462.650868,875,0.005965863,0.006786057,0.013493874
10,12,12.22937,7.78621,1.75885,12.7055149,37.581947,1462.504803,1462.518692,980,0.012478949,0.007945112,0.001794745
10,18,9.96442,6.35644,12.43035,18.5621611,37.199265,1462.572211,1462.5861,980,0.010167776,0.006486163,0.012684031
10,24,7.12433,4.75222,11.6989,24.3505101,37.167891,1462.63434,1462.648229,980,0.007269724,0.004849204,0.011937653
10,30,6.38958,4.32809,12.29161,30.6091288,37.366222,1462.699595,1462.713484,980,0.00651998,0.004416418,0.012542459
10,35,6.71515,4.58692,11.68126,35.062866,,1462.752824,1462.766713,980,0.006852194,0.004680531,0.011919653
11,12,12.1568,8.57847,8.18115,12.4702674,37.474328,1462.399537,1462.413426,1000,0.0121568,0.00857847,0.00818115
11,18,10.36869,7.26548,11.99521,18.4609907,37.241077,1462.479294,1462.493183,1000,0.01036869,0.00726548,0.01199521
11,24,8.8813,6.11436,11.91344,24.5248256,37.19874,1462.561169,1462.575058,1000,0.0088813,0.00611436,0.01191344
11,30,7.19818,5.03595,12.30238,30.3659464,37.515873,1462.622431,1462.636319,1000,0.00719818,0.00503595,0.01230238
11,35,8.59235,5.78859,14.11391,35.616869,38.582573,1462.702095,1462.715984,1000,0.00859235,0.00578859,0.01411391
