site,lat,long
AU10A,-17.7062,145.5267
AU10B,-17.69997549,145.5211014
AU4A,-17.60822594,145.7697811
AU6A,-17.67372226,145.7151304
AU7A,-17.63196307,145.6933064
AU7B,-17.618911,145.68341
AU8A,-17.60341917,145.6325152
AU8B,-17.597161,145.646271
AUAC,-17.743289,145.534109
AUAD,-17.770123,145.547467
AUSR,-17.7154,145.5267
CU10A,-16.556704,145.276664
CU11,-16.529514,145.284013
CU12A,-16.51648475,145.2755187
CU4A,-16.53464361,145.3693701
CU6A,-16.57739771,145.3094228
CU8A,-16.58453862,145.303007
G5,-17.688477,145.507957
HRG1,-17.454248,145.476429
HRG3,-17.286008,145.426695
HRG3A,-17.316392,145.419989
LU10,-17.102851,145.590055
LU11,-17.092501,145.618886
LU12,-17.096672,145.577881
LU7,-17.124248,145.629435
LU8,-17.117477,145.602962
LU9,-17.103734,145.611918
WU10A,-16.28245009,145.0779169
WU11A,-16.25920351,145.0475925
WU12A,-16.24498198,145.0213659
WU13A,-16.23247429,145.006639
WU9A,-16.28513625,145.087162
